plan_id,county_id
63474OR0600010-05,41005
10091OR0750004-06,41047
39424OR1600002,41011
39424OR1620068,41019
10091OR0750019,41009
39424OR1620077-04,41019
10091OR0750004-05,41047
39424OR1620066,41067
71287OR0420001,41071
71287OR0420020,41003
39424OR1620002-05,41015
10091OR0750004-04,41049
77969OR5290001,41065
77969OR5290002,41005
71287OR0420014,41005
77969OR5280021,41041
39424OR1620002-06,41009
10091OR0750003,41065
71287OR0420013,41039
77969OR5290001,41057
39424OR1620076-05,41057
10091OR0750013,41037
10091OR0750018,41005
39424OR1620076,41071
39424OR1610005-06,41017
77969OR5290001-05,41015
77969OR5280012,41051
56707OR1360004,41027
10091OR0750015,41005
56707OR1330004-06,41039
71287OR0420012,41005
77969OR5280021,41019
71287OR0420005,41051
56707OR1430003,41055
10091OR0760001,41035
77969OR5290001-06,41043
77969OR5280014-06,41023
77969OR5290001-06,41003
39424OR1620069,41045
63474OR0600009,41071
77969OR5280022,41009
39424OR1620055,41021
10091OR0750004-04,41019
10091OR0750015,41003
39424OR1620070,41035
63474OR0600010-06,41053
39424OR1610002-05,41033
77969OR5290005,41069
63474OR0600010-04,41035
77969OR5280014-05,41059
10091OR0750018,41009
77969OR5280022-06,41005
10091OR0750005-05,41017
39424OR1620051,41055
77969OR5290005,41035
77969OR5290005,41071
39424OR1620070,41063
39424OR1620052,41025
56707OR1320004,41003
39424OR1620002-06,41029
77969OR5290002,41013
77969OR5280030,41013
39424OR1610005-04,41021
71287OR0420005,41071
10091OR0750015,41045
77969OR5280012,41029
77969OR5280014-04,41061
77969OR5290001,41043
77969OR5290001-05,41019
39424OR1610004,41059
10091OR0760004,41031
56707OR1360004,41033
39424OR1620077-05,41059
39424OR1600002-05,41007
77969OR5280021,41015
10091OR0750005-04,41009
39424OR1620063-05,41065
10091OR0750003,41037
39424OR1600002-06,41051
56707OR1360004,41061
10091OR0750005,41055
39424OR1620069,41063
56707OR1330004-05,41027
39424OR1620053-06,41053
10091OR0750013-06,41035
39424OR1620077-06,41039
39424OR1620076-05,41051
10091OR0750013,41049
77969OR5290002,41023
10091OR0750004,41009
39424OR1620002-06,41051
39424OR1620076,41029
39424OR1620053,41023
63474OR0600007,41029
56707OR1330004-05,41043
10091OR0750004-04,41023
10091OR0750005-06,41017
77969OR5280014-04,41005
39424OR1610002-06,41009
39424OR1620052,41055
10091OR0750013-05,41069
56707OR1400003,41039
39424OR1620069-05,41001
77969OR5290002,41011
77969OR5280030,41017
77969OR5280010,41011
10091OR0760001,41037
56707OR1330004-06,41043
71287OR0420016,41003
56707OR1330004-05,41067
77969OR5280003,41013
56707OR1360004,41043
56707OR1410003,41009
71287OR0420011-05,41047
39424OR1620069,41055
77969OR5280014-04,41051
39424OR1620002-04,41051
63474OR0600009,41069
10091OR0750004-06,41019
77969OR5280014-06,41069
10091OR0760005,41031
71287OR0420011-04,41027
10091OR0750002,41041
77969OR5290009,41067
77969OR5280003,41063
63474OR0600010-04,41023
71287OR0420003-06,41047
10091OR0750016,41061
39424OR1610005,41035
77969OR5290001-05,41001
56707OR1410003,41045
77969OR5280021-06,41007
10091OR0750017,41041
71287OR0420001,41027
56707OR1420003,41031
10091OR0750013-04,41071
10091OR0760005,41005
10091OR0750015,41009
10091OR0750005-04,41057
71287OR0420012-06,41005
77969OR5280021-06,41001
39424OR1620063,41033
77969OR5280012,41015
77969OR5290001-06,41061
39424OR1620076-06,41027
39424OR1620074,41063
77969OR5280014-04,41069
39424OR1610002-05,41057
10091OR0750017,41031
39424OR1620051,41031
77969OR5280030,41027
39424OR1620063-04,41067
77969OR5280028,41061
39424OR1620077-05,41055
77969OR5280012,41011
56707OR1330004,41071
77969OR5280021-04,41007
10091OR0750013-05,41045
56707OR1360004-04,41061
39424OR1620053-04,41001
39424OR1610005-06,41035
39424OR1620063-04,41071
39424OR1620050,41027
56707OR1330004-06,41029
10091OR0750014,41025
39424OR1620074,41023
10091OR0750005,41045
56707OR1350004,41007
77969OR5280003,41011
10091OR0750013,41033
56707OR1430003,41071
10091OR0760005,41017
77969OR5280015-04,41005
39424OR1620053-05,41045
39424OR1620055,41053
77969OR5280003,41065
71287OR0420023,41043
77969OR5280023,41071
77969OR5280028,41065
63474OR0600010-04,41017
39424OR1620051,41069
56707OR1330004-04,41041
77969OR5280023,41015
39424OR1620068,41025
10091OR0760001,41069
77969OR5280021-05,41059
56707OR1360004-05,41039
77969OR5290008-05,41067
39424OR1620063,41011
39424OR1620072,41023
71287OR0420021,41003
39424OR1600002,41027
77969OR5280012,41003
56707OR1360004-05,41059
10091OR0750017,41033
39424OR1600002-05,41067
77969OR5290005,41049
39424OR1610005-05,41045
77969OR5280010,41059
10091OR0750014,41039
10091OR0760001,41003
77969OR5280021,41045
77969OR5290005,41031
71287OR0420012-05,41003
77969OR5280022-05,41067
39424OR1620076,41033
10091OR0750003,41059
77969OR5280014-06,41057
63474OR0600009,41037
77969OR5290001,41053
77969OR5280014-04,41009
56707OR1320004,41047
10091OR0750004-05,41053
10091OR0750014,41043
39424OR1610005-04,41019
71287OR0420003-04,41053
10091OR0750005,41053
10091OR0750002,41055
10091OR0750004,41005
77969OR5280021,41021
39424OR1620070,41047
77969OR5280021-06,41019
39424OR1620003,41029
10091OR0750013-04,41065
71287OR0420020,41027
39424OR1620069-04,41001
39424OR1610002-05,41015
39424OR1600002-04,41065
77969OR5280014-06,41063
39424OR1620063-05,41033
56707OR1360004-05,41049
10091OR0750004-04,41009
77969OR5290008,41005
77969OR5280023,41053
77969OR5290008-04,41005
10091OR0750005-05,41067
71287OR0420020,41009
10091OR0750015,41069
77969OR5280021,41011
10091OR0750012,41063
39424OR1620077-05,41021
39424OR1620068,41069
63474OR0600010,41011
77969OR5280010,41027
10091OR0750013-04,41043
56707OR1360004,41059
56707OR1320004,41013
39424OR1620053,41049
10091OR0750020,41035
39424OR1620070,41025
39424OR1620053-04,41013
77969OR5280021-06,41067
39424OR1620063,41007
10091OR0750004-05,41057
63474OR0600009,41043
77969OR5280003,41047
10091OR0750004-04,41051
56707OR1380009,41071
10091OR0760003,41035
10091OR0760004,41045
71287OR0420012,41003
77969OR5280003,41015
71287OR0420016,41005
77969OR5290005,41065
71287OR0420004,41053
77969OR5280030,41067
63474OR0600010-04,41015
71287OR0420011-05,41003
39424OR1620053-05,41019
39424OR1620075,41011
10091OR0750016,41037
10091OR0750013-05,41071
10091OR0760005,41035
10091OR0750005-06,41065
77969OR5280021-04,41029
39424OR1620077,41055
10091OR0760004,41049
77969OR5280028,41039
39424OR1620055,41025
71287OR0420012-05,41053
77969OR5280021,41023
77969OR5290005,41011
63474OR0600009,41017
71287OR0420021,41067
63474OR0600010-05,41035
71287OR0420022-04,41027
56707OR1330004-06,41013
77969OR5280014-04,41059
10091OR0750004-05,41023
71287OR0420011-06,41009
77969OR5280010,41037
77969OR5280022,41005
10091OR0750020,41021
39424OR1610002-06,41011
39424OR1610001,41027
39424OR1620063-05,41057
39424OR1620002-04,41033
71287OR0420022,41003
10091OR0760001,41041
10091OR0760003,41007
39424OR1620002,41027
10091OR0750015,41067
56707OR1380009-05,41051
10091OR0750014,41033
39424OR1620053-04,41037
10091OR0750019,41033
10091OR0750002,41037
77969OR5280021-05,41003
56707OR1350004,41039
10091OR0750004-05,41011
77969OR5290001-06,41031
10091OR0760005,41027
39424OR1610005-06,41053
77969OR5280015-06,41067
39424OR1620065,41067
10091OR0750016,41045
10091OR0750013-06,41023
56707OR1360004,41039
10091OR0750003,41023
77969OR5280014,41045
63474OR0600010-04,41033
63474OR0600007,41063
63474OR0600010-06,41035
71287OR0420018,41043
77969OR5280021-06,41049
63474OR0600010,41041
71287OR0420003-04,41009
56707OR1350004,41005
39424OR1620050,41015
10091OR0750013,41027
10091OR0760005,41011
10091OR0760003,41015
10091OR0750005-06,41047
77969OR5280021-05,41029
77969OR5290009,41047
10091OR0750004-06,41033
77969OR5280028,41063
63474OR0600010-05,41013
71287OR0420022-06,41039
10091OR0750002,41013
10091OR0750005,41027
56707OR1320004,41017
39424OR1620076-06,41029
39424OR1600002-06,41027
39424OR1620064,41065
56707OR1380009-04,41027
10091OR0750004-05,41067
71287OR0420022,41067
10091OR0750004-04,41035
56707OR1380009,41005
39424OR1620053-06,41061
77969OR5280021,41031
77969OR5290001-04,41031
39424OR1600002-04,41051
10091OR0750013,41007
71287OR0420012-05,41009
56707OR1410003,41005
71287OR0420022-06,41003
56707OR1350004,41065
10091OR0750012,41039
63474OR0600010,41063
56707OR1350004,41061
39424OR1610002-06,41027
63474OR0600009,41027
10091OR0750012,41003
71287OR0420013,41003
39424OR1620004,41033
39424OR1620077-04,41063
10091OR0750013-05,41065
77969OR5280014-05,41001
39424OR1600001,41067
10091OR0750004,41071
10091OR0750016,41021
77969OR5280014,41069
10091OR0750013-06,41043
77969OR5280022,41047
56707OR1400003,41003
39424OR1620076-04,41009
71287OR0420022-05,41047
77969OR5280021-05,41031
39424OR1620002,41011
71287OR0420022-06,41053
39424OR1620053-04,41023
63474OR0600010-04,41001
77969OR5280023,41061
63474OR0600007,41055
39424OR1620076,41005
63474OR0600010-05,41039
77969OR5280021-04,41061
39424OR1620074,41039
10091OR0750013,41061
39424OR1620076-06,41051
77969OR5280021-06,41003
39424OR1620074,41045
39424OR1620072,41055
56707OR1410003,41015
10091OR0750017,41027
77969OR5280030,41033
56707OR1360004-04,41039
71287OR0420011-06,41047
63474OR0600010-06,41011
10091OR0750005-04,41059
77969OR5290001-06,41049
71287OR0420013,41067
10091OR0750005-06,41063
10091OR0750005-04,41013
77969OR5280030,41005
39424OR1620051,41059
10091OR0750005,41041
10091OR0750005-04,41071
39424OR1620064,41071
39424OR1620066,41065
10091OR0750012,41021
39424OR1620070,41017
39424OR1620069-05,41017
39424OR1620054,41063
10091OR0750016,41063
10091OR0750005-06,41003
10091OR0760001,41021
10091OR0760001,41025
71287OR0420022-05,41051
56707OR1360004-06,41043
63474OR0600010,41027
77969OR5280028,41011
39424OR1620072,41019
39424OR1620070,41039
71287OR0420012,41051
39424OR1620001,41005
10091OR0760004,41009
56707OR1330004-04,41039
39424OR1620054,41055
39424OR1620002-05,41071
10091OR0750014,41051
39424OR1620074,41055
10091OR0760004,41001
39424OR1620063-04,41033
10091OR0750017,41007
39424OR1620065,41027
77969OR5280022-06,41051
10091OR0750013,41071
39424OR1620002-06,41007
39424OR1620074,41001
77969OR5290001-06,41057
39424OR1620077-06,41021
77969OR5280003,41045
10091OR0750015,41055
56707OR1400003,41047
10091OR0750015,41015
10091OR0750004-06,41015
10091OR0760001,41011
39424OR1610005,41039
77969OR5280021-04,41071
39424OR1620069-05,41059
39424OR1620075,41067
39424OR1620051,41017
39424OR1600002-05,41027
56707OR1400003,41013
56707OR1330004-04,41003
56707OR1360004-04,41047
71287OR0420003-06,41051
71287OR0420011-06,41043
77969OR5290005,41015
39424OR1620062,41009
77969OR5280027,41009
10091OR0750013-06,41041
56707OR1360004,41029
39424OR1620004,41011
56707OR1330004,41007
77969OR5290002,41037
56707OR1360004,41013
39424OR1600002-04,41057
39424OR1620002-05,41065
10091OR0750013-04,41059
10091OR0750004-04,41029
10091OR0750013-06,41067
77969OR5280021-06,41055
10091OR0750013,41043
10091OR0750013-05,41049
77969OR5280014-06,41003
77969OR5290002,41047
39424OR1620063-05,41029
39424OR1610002-06,41029
39424OR1620002-06,41015
71287OR0420023,41027
39424OR1620077-04,41037
10091OR0750005-05,41013
77969OR5280014-04,41057
77969OR5290002,41029
39424OR1610004,41039
56707OR1320004,41071
56707OR1330004-06,41027
10091OR0750005-05,41007
39424OR1600002-04,41033
39424OR1600002-05,41057
10091OR0750018,41051
77969OR5290001-05,41067
77969OR5280028,41031
10091OR0750015,41019
77969OR5280028,41015
